applicant_email	application_date	dog_id	adoption_date	fee
dhoffis@zotware.com	2023-10-03	1	2023-10-10	0
tharnos@donquadtech.com	2023-10-02	2	2023-10-09	0
lworlds@hottechi.com	2023-10-10	3	2023-10-13	0
bpatak@ganjaflex.com	2023-10-06	4	2023-10-24	0
bhamilton@kan-code.com	2023-10-05	5	2023-10-25	0
akampa@zumgoity.com	2023-10-13	6	2024-01-17	0
ebaltimore@singletechno.com	2023-10-11	7	2023-10-26	0
rmonarrez@opentech.com	2023-11-01	8	2023-11-13	0
blindall@gogozoom.com	2023-12-14	9	2024-01-31	0
fankeny@domzoom.com	2023-10-06	10	2023-11-15	0
abayless@rangreen.com	2023-10-02	11	2023-11-14	0
lbrachle@plexzap.com	2023-10-20	12	2023-11-15	0
tmirafuentes@statholdings.com	2023-10-30	13	2023-11-17	0
lisaacs@scottech.com	2023-10-10	14	2023-11-23	0
cbenimadho@newex.com	2023-10-24	15	2023-11-29	0
vdiestel@green-plus.com	2023-11-07	16	2023-12-01	0
cpaskin@mathtouch.com	2023-11-14	17	2023-12-05	0
dnestle@treequote.com	2023-10-20	18	2023-12-12	0
lworlds@hottechi.com	2023-11-02	19	2023-12-11	0
ecanlas@conecom.com	2023-10-03	20	2023-12-13	0
lbiddy@toughzap.com	2023-12-04	21	2024-02-21	0
lgillaspie@zencorporation.com	2023-11-09	22	2023-12-19	0
mpalaspas@iselectrics.com	2023-12-25	23	2024-02-26	0
mwenner@scotfind.com	2023-11-09	24	2023-12-20	0
pbevelacqua@iselectrics.com	2023-11-02	25	2024-02-16	0
fankeny@domzoom.com	2023-11-20	26	2023-12-26	0
thoopengardner@conecom.com	2023-10-19	27	2024-01-26	0
sshealy@statholdings.com	2023-10-16	28	2024-01-18	0
jyglesias@betasoloin.com	2023-11-24	29	2024-01-10	0
amai@openlane.com	2023-10-13	30	2024-01-03	0
rhoa@iselectrics.com	2023-11-16	31	2024-01-05	0
fvarriano@mathtouch.com	2023-10-27	32	2024-01-24	0
lpinilla@condax.com	2023-11-03	33	2024-01-26	0
marias@zotware.com	2023-12-13	34	2024-01-11	0
mcloney@xx-holding.com	2023-10-04	35	2024-02-06	0
sshealy@statholdings.com	2023-12-26	36	2024-01-16	0
cbreland@sumace.com	2023-11-30	37	2024-01-18	0
ssaras@sumace.com	2023-10-25	38	2024-02-02	0
jyglesias@finjob.com	2024-01-16	39	2024-01-22	0
