a_email	app_date	approved_date
abayless@rangreen.com	2023-10-02	2023-10-03
abayless@rangreen.com	2024-09-27	2025-03-23
abayless@rangreen.com	2025-01-16	2025-01-27
adevreese@codehow.com	2024-01-26	2024-12-10
afrankel@plexzap.com	2024-04-22	2024-12-02
afrankel@plexzap.com	2024-10-02	2024-10-18
ajuhas@year-job.com	2023-11-21	2024-01-03
ajuhas@year-job.com	2024-02-12	2024-07-11
ajuhas@year-job.com	2024-03-27	2025-03-12
ajuhas@year-job.com	2024-04-03	2024-04-11
ajuhas@year-job.com	2024-06-14	2024-11-20
ajuhas@year-job.com	2024-07-09	2024-10-16
akampa@zumgoity.com	2023-10-13	2023-12-19
akampa@zumgoity.com	2024-01-15	2024-09-21
akampa@zumgoity.com	2024-01-17	2025-01-25
akampa@zumgoity.com	2024-03-20	2024-12-22
akampa@zumgoity.com	2024-10-07	2024-12-06
amai@openlane.com	2023-10-13	2023-12-08
amai@openlane.com	2024-04-11	2024-05-22
amai@openlane.com	2024-05-02	2024-06-10
amai@openlane.com	2024-06-17	2024-09-29
amai@openlane.com	2024-08-16	2024-12-14
amirafuentes@inity.com	2024-04-05	2024-05-26
amirafuentes@inity.com	2024-11-26	2024-12-14
apoullion@year-job.com	2024-04-04	2024-05-03
apoullion@year-job.com	2024-06-11	2024-12-05
apoullion@year-job.com	2024-06-25	2025-02-18
aradde@hottechi.com	2024-01-10	2024-05-09
aradde@hottechi.com	2024-03-07	2024-06-20
aradde@hottechi.com	2024-05-09	2024-06-29
aradde@hottechi.com	2024-09-17	2025-02-09
aradde@hottechi.com	2024-09-27	2025-02-28
aradde@hottechi.com	2025-01-30	2025-02-28
asilvestrini@bioholding.com	2024-03-04	2024-04-18
asilvestrini@bioholding.com	2024-04-04	2024-11-25
asilvestrini@bioholding.com	2024-10-17	2025-01-21
asweigard@kinnamplus.com	2023-11-08	2023-12-20
asweigard@kinnamplus.com	2024-03-22	2024-05-21
asweigard@kinnamplus.com	2024-05-06	2024-11-30
asweigard@kinnamplus.com	2024-05-07	2024-09-16
asweigard@kinnamplus.com	2024-05-15	2024-10-11
asweigard@kinnamplus.com	2024-06-05	2024-09-25
avillanueva@funholding.com	2024-08-14	2024-10-30
avillanueva@funholding.com	2024-09-16	2024-11-22
avillanueva@funholding.com	2024-09-18	2024-11-09
bcorbley@isdom.com	2023-11-21	2024-01-04
bcorbley@isdom.com	2024-01-31	2024-08-15
bcorbley@isdom.com	2024-06-03	2024-08-10
bhamilton@kan-code.com	2023-10-05	2023-10-07
bhamilton@kan-code.com	2024-02-08	2024-05-06
bhamilton@kan-code.com	2024-02-12	2024-10-17
bhamilton@kan-code.com	2024-06-26	2024-11-15
bhamilton@kan-code.com	2024-10-07	2025-03-18
bkoppinger@kan-code.com	2024-09-09	2025-02-14
blindall@gogozoom.com	2023-10-31	2023-12-10
blindall@gogozoom.com	2023-12-14	2024-01-21
blindall@gogozoom.com	2024-01-22	2024-02-09
blindall@gogozoom.com	2024-03-21	2024-10-23
blindall@gogozoom.com	2024-08-06	2024-11-30
blindall@gogozoom.com	2025-01-23	2025-02-03
bpatak@ganjaflex.com	2023-10-06	2023-10-20
bpatak@ganjaflex.com	2024-10-30	2024-11-24
bpatak@ganjaflex.com	2025-02-03	2025-03-15
bpatak@ganjaflex.com	2025-02-04	2025-02-14
bsamu@labdrill.com	2023-11-29	2023-12-12
bsamu@labdrill.com	2024-09-13	2024-09-23
cauffrey@lexiqvolax.com	2024-08-19	2024-09-18
cauffrey@lexiqvolax.com	2024-09-02	2024-10-02
cbenimadho@newex.com	2023-10-24	2023-10-30
cbenimadho@newex.com	2023-12-19	2025-02-13
cbenimadho@newex.com	2024-01-24	2025-01-26
cbenimadho@newex.com	2024-01-31	2024-03-09
cbenimadho@newex.com	2024-02-19	2025-03-14
cbenimadho@newex.com	2024-06-10	2024-10-30
cbenimadho@newex.com	2024-11-05	2025-03-27
cbreland@sumace.com	2023-11-30	2023-12-06
cbreland@sumace.com	2024-04-09	2025-03-12
cbreland@sumace.com	2024-10-29	2024-12-25
cbreland@sumace.com	2025-01-21	2025-03-29
ccanlas@labdrill.com	2023-11-20	2024-12-13
ccanlas@labdrill.com	2024-01-03	2024-11-10
ccanlas@labdrill.com	2024-08-29	2024-10-06
cgellinger@silis.com	2023-12-07	2024-04-12
cgellinger@silis.com	2023-12-15	2024-03-29
cgellinger@silis.com	2024-10-04	2025-01-31
cgellinger@silis.com	2024-12-09	2024-12-31
chudnall@zoomit.com	2024-01-03	2024-03-12
chudnall@zoomit.com	2024-04-09	2024-06-27
chudnall@zoomit.com	2024-07-09	2024-12-11
chudnall@zoomit.com	2025-01-31	2025-03-18
cpaskin@mathtouch.com	2023-11-14	2023-11-22
cpaskin@mathtouch.com	2024-08-28	2024-11-04
cpaskin@mathtouch.com	2024-10-21	2024-11-26
cshinko@scotfind.com	2024-03-08	2024-04-28
cshinko@scotfind.com	2024-04-15	2024-05-17
cshinko@scotfind.com	2024-08-12	2024-11-01
cshinko@scotfind.com	2025-01-14	2025-03-09
cslayton@openlane.com	2023-10-25	2024-06-08
cslayton@openlane.com	2024-03-21	2025-02-27
cslayton@openlane.com	2024-06-25	2024-11-27
cslayton@openlane.com	2024-11-22	2025-02-03
ctheodorov@groovestreet.com	2024-03-12	2024-04-04
ctheodorov@groovestreet.com	2024-06-24	2025-01-14
cvillanueva@isdom.com	2023-12-26	2024-01-04
cvillanueva@isdom.com	2024-06-05	2025-02-03
cvillanueva@isdom.com	2024-07-12	2024-11-05
cvillanueva@isdom.com	2024-08-20	2024-12-31
cvillanueva@isdom.com	2024-09-25	2025-01-11
cvonasek@stanredtax.com	2023-11-24	2024-04-15
cvonasek@stanredtax.com	2024-03-13	2024-09-12
cvonasek@stanredtax.com	2024-07-22	2024-08-08
cvonasek@stanredtax.com	2024-08-13	2025-02-09
cvonasek@stanredtax.com	2024-08-26	2025-01-07
cvonasek@stanredtax.com	2024-10-30	2025-02-09
cvonasek@stanredtax.com	2024-12-25	2025-03-20
cwalthall@year-job.com	2024-01-01	2024-05-17
cwalthall@year-job.com	2024-01-24	2024-04-30
cwenner@betatech.com	2024-01-30	2024-10-21
cwenner@betatech.com	2024-03-05	2024-03-27
cwenner@betatech.com	2025-01-24	2025-01-24
darias@treequote.com	2023-10-12	2024-06-08
darias@treequote.com	2023-12-29	2024-05-20
darias@treequote.com	2024-03-19	2024-05-25
darias@treequote.com	2024-09-05	2024-09-24
darias@treequote.com	2025-02-21	2025-03-12
dblunk@dalttechnology.com	2023-11-09	2023-11-27
dblunk@dalttechnology.com	2024-04-08	2024-08-26
dblunk@dalttechnology.com	2024-10-15	2024-12-30
dfelger@faxquote.com	2023-12-01	2024-12-05
dfelger@faxquote.com	2023-12-14	2025-01-29
dfelger@faxquote.com	2023-12-15	2024-02-13
dfelger@faxquote.com	2023-12-27	2024-03-01
dfelger@faxquote.com	2024-02-06	2025-02-23
dfelger@faxquote.com	2024-11-27	2025-01-12
dhoffis@zotware.com	2023-10-03	2023-10-06
dhoffis@zotware.com	2024-03-18	2024-12-22
dhoffis@zotware.com	2024-03-25	2024-03-31
dhoffis@zotware.com	2024-05-02	2025-03-29
dhoffis@zotware.com	2024-06-17	2024-09-02
dhoffis@zotware.com	2024-07-02	2024-11-04
dhoffis@zotware.com	2024-08-01	2025-03-25
dhoffis@zotware.com	2024-08-23	2024-11-10
dhoffis@zotware.com	2024-12-20	2025-02-08
dlueckenbach@opentech.com	2024-08-01	2024-11-24
dmoyd@labdrill.com	2024-08-21	2024-10-12
dnestle@treequote.com	2023-10-20	2023-11-23
dnestle@treequote.com	2024-02-20	2024-02-29
dnestle@treequote.com	2024-06-06	2024-09-09
dnestle@treequote.com	2024-07-19	2025-03-19
dnestle@treequote.com	2024-12-03	2025-01-16
dnestle@treequote.com	2025-01-22	2025-02-21
dnestle@treequote.com	2025-03-12	2025-03-19
drestrepo@xx-zobam.com	2023-12-05	2024-11-08
drestrepo@xx-zobam.com	2024-04-30	2024-07-15
drestrepo@xx-zobam.com	2024-10-14	2025-03-16
drulapaugh@mathtouch.com	2023-11-30	2024-07-01
drulapaugh@mathtouch.com	2024-02-01	2024-11-01
drulapaugh@mathtouch.com	2024-03-26	2024-08-24
drulapaugh@mathtouch.com	2024-07-10	2024-11-20
