dog_name	sex	alt_status	local_control	surrender_date	surrender_phone	description	age_months	email
Mickey	Male	1	1	2023-10-04	7752965599	is a super sweet boxer/dane mix!  He came from a rural animal contro	16	asturiale@hottechi.com
Cash	Male	1	0	2023-10-06			17	mdiestel@hatfan.com
Maya	Female	1	0	2023-10-12	3543949591	is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	72	adinos@ganjaflex.com
Bailey	Female	1	1	2023-10-13	9601658004	his owner died and now this boy has nowhere to go - can you help him out	45	ahoa@j-texon.com
Harley	Female	1	0	2023-10-23		is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	108	fperigo@condax.com
Finn	Male	1	0	2023-10-23	3745129261		123	tcastros@hatfan.com
Luke	Male	1	0	2023-10-25	5704262728	is a two and a half old and such a sweetheart.   loves the car and likes	164	asturiale@hottechi.com
Lulu	Female	1	0	2023-10-31	8464731718	Poor boy was surrendered to the Newark shelter when his owner could no	102	fscheyer@cancity.com
Jax	Male	1	0	2023-11-03	196333483	This sweet brindle boy with the crooked smile is Whopper. He's such a good boy - playful,	3	cfallick@zoomit.com
Gizmo	Male	1	0	2023-11-09		This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	98	bstimmel@hatfan.com
Elvis	Unknown	1	0	2023-11-13	9776070805	was found as a baby in a colony when they were to be rounded up and possibly euthanized. Th	42	bstimmel@hatfan.com
Gus	Male	1	0	2023-11-14	4446004402		83	skalafatis@xx-holding.com
Madison	Female	1	0	2023-11-16		is a wonderful family member.  He is 13 years old and has been with	27	ddegonia@finjob.com
Copper	Male	1	0	2023-11-22	3244780627	Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in	80	ebayless@streethex.com
Duke	Male	1	0	2023-11-28	9766973790	is a senior boy, 11-12 years old, the life he led before being rescued was filled	38	atawil@golddex.com
Benny	Male	1	0	2023-11-30	429292602	Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted	38	kbenimadho@newex.com
Athena	Female	1	0	2023-12-04		is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo	230	smadarang@zotware.com
Coco	Male	1	1	2023-12-04	9306393197	was found in rural Texas all alone outside of a residence one cold January nigh	111	atawil@golddex.com
Blue	Unknown	1	0	2023-12-08		is sweet but will take some time to warm up. She will bond to her person. If you are inte	67	ebayless@streethex.com
Lilly	Unknown	1	0	2023-12-12	6281357755	is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha	60	asturiale@hottechi.com
Coco	Female	1	0	2023-12-15	9212256287		169	ljillson@rangreen.com
Murphy	Male	1	0	2023-12-18	4513185100	was rescued after she gave birth under a house in rural Texas. She'd been living on the	15	bkarpel@plexzap.com
Lexie	Unknown	1	0	2023-12-18	778187593	a beautiful Hound mix, 7 years old, and weighing 43 pounds.	82	ahoa@j-texon.com
Dixie	Female	1	0	2023-12-19	6829605577	This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	111	mdiestel@hatfan.com
Zoey	Female	1	1	2023-12-21	4472491399		77	cfallick@zoomit.com
Coco	Male	1	0	2023-12-25	197857479	was dumped at a mailbox in rural Texas; is a sweet shy girl  w	119	asturiale@hottechi.com
Chase	Male	1	1	2023-12-27	6219654658	was found curled up in a shivering ball one frosty morning in the landscaping outside of a	73	shalter@treequote.com
Cleo	Female	1	1	2023-12-28	7159023002	is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	267	mdiestel@hatfan.com
Duke	Male	1	0	2023-12-29	1029635526	 When her dad passed away in a tragic accident, she and her "brother"  found themselv	190	kbenimadho@newex.com
Rose	Unknown	1	0	2024-01-02	7249519509	is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	69	atawil@golddex.com
Bentley	Male	1	0	2024-01-04	1265748998	We are looking for a home for our dog . He was born in December of 2015	70	bstimmel@hatfan.com
Buster	Male	1	0	2024-01-08	7580291925		161	mdiestel@hatfan.com
Kona	Unknown	1	0	2024-01-10	190608159	is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	34	kyum@goodsilron.com
Chester	Male	1	0	2024-01-10	3682937167		72	tcastros@hatfan.com
Felix	Unknown	1	0	2024-01-11	8714238960	is so smart and curious too.  She's becoming a TV binge watching c	218	execdir@burdell.com
Bandit	Male	1	0	2024-01-15	8359799807	I'm an absolute awesome dog and I love all people. My foster says I have	81	smadarang@zotware.com
Olive	Female	1	0	2024-01-17	9484756993	is a 3-year-old Hound/lab mix who weighs 55 pounds. has been in the same foster home wit	60	asturiale@hottechi.com
Jack	Male	1	0	2024-01-18	2741973727	a fun-loving energetic gir	55	adinos@ganjaflex.com
Leo	Male	1	0	2024-01-19	5463443545	We don't know what happened to him before he arrived	102	shalter@treequote.com
Willow	Female	1	0	2024-01-22	9442338603	Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in	16	alabreche@konex.com
Coco	Male	1	1	2024-01-29	3427869137	is a loving, snuggly girl who loves long walks and going for car rides but she's als	38	shalter@treequote.com
Ginger	Female	1	0	2024-01-30	3172412491	was being given away for free on a neighborhood site in Texas because a child in the home w	21	mrowling@finhigh.com
Penny	Female	1	0	2024-02-01			50	shalter@treequote.com
Maggie	Female	1	0	2024-02-06	1848166828	he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled	174	atawil@golddex.com
Mac	Male	1	0	2024-02-07	682771502	is a loving, snuggly girl who loves long walks and going for car rides but she's als	132	alabreche@konex.com
Gigi	Female	1	0	2024-02-08	1468355737	is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	96	execdir@burdell.com
Max	Male	1	0	2024-02-09	3562896738	This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	59	mdiestel@hatfan.com
Gigi	Female	1	0	2024-02-13	5370334038	was found in rural Texas all alone outside of a residence one cold January nigh	11	kbenimadho@newex.com
Pebbles	Female	1	0	2024-02-14	1550733559	He's approximately one to one and a half years old. He was rescued a few months	121	cfallick@zoomit.com
Heidi	Female	1	0	2024-02-14	5954082315	was rescued from euthanasia at a Texas shelter. She was a wonderful mama to her puppi	8	fperigo@condax.com
Pebbles	Female	1	0	2024-02-20	8909625137		99	skalafatis@xx-holding.com
Tigger	Unknown	1	0	2024-02-21	1668682153	2 years old. If interested please fill out an application at EHRdogs.org  Click for more informati	53	asturiale@hottechi.com
Penny	Female	1	0	2024-02-26	5484274484	was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi	155	kyum@goodsilron.com
Harley	Male	1	0	2024-02-27		Meet a very sweet natured young pup. She is a Parvo survivor~ having spent a week	69	shalter@treequote.com
Louie	Male	1	0	2024-02-27	6338381992	This Southern Belle has traveled all the way from South Carolina to find her forever home here in	64	kscriven@betasoloin.com
Bubba	Unknown	1	0	2024-02-28			22	ebayless@streethex.com
Sampson	Unknown	1	0	2024-02-29	3167612052	beautiful dilute tortie. She was found pregnant and homeless.  She is an amazing	85	ebayless@streethex.com
Blue	Male	1	0	2024-03-07	8887748376	This gorgeous boy is a Saint Bernard mix. He is	248	kyum@goodsilron.com
Bailey	Male	1	0	2024-03-07	3863481285	is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	80	atawil@golddex.com
Mimi	Female	1	0	2024-03-15	7716338158	a big scruffy pup and devoted friend to those he trusts.  But trust takes tim	123	adinos@ganjaflex.com
Belle	Female	1	1	2024-03-20	5561776161	Meet a handsome black Lab mix who's almost 5 years old	223	mrowling@finhigh.com
Abby	Female	1	0	2024-03-21	7862009592	is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	79	ljillson@rangreen.com
Copper	Male	1	0	2024-03-22	2346505762	is such a doll! She was recently rescued from euthanasia in a Texas shelt	118	lstaback@conecom.com
Jack	Male	1	0	2024-04-04	9309013382	is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused	39	adinos@ganjaflex.com
Trixie	Female	1	0	2024-04-04			101	mrowling@finhigh.com
