dog_id	a_email	app_date	adoption_date
1	dhoffis@zotware.com	2023-10-03	2023-10-10
2	tharnos@donquadtech.com	2023-10-02	2023-10-09
3	lworlds@hottechi.com	2023-10-10	2023-10-13
4	bpatak@ganjaflex.com	2023-10-06	2023-10-24
5	bhamilton@kan-code.com	2023-10-05	2023-10-25
6	akampa@zumgoity.com	2023-10-13	2024-01-17
7	ebaltimore@singletechno.com	2023-10-11	2023-10-26
8	rmonarrez@opentech.com	2023-11-01	2023-11-13
9	blindall@gogozoom.com	2023-12-14	2024-01-31
10	fankeny@domzoom.com	2023-10-06	2023-11-15
11	abayless@rangreen.com	2023-10-02	2023-11-14
12	lbrachle@plexzap.com	2023-10-20	2023-11-15
13	tmirafuentes@statholdings.com	2023-10-30	2023-11-17
14	lisaacs@scottech.com	2023-10-10	2023-11-23
15	cbenimadho@newex.com	2023-10-24	2023-11-29
16	vdiestel@green-plus.com	2023-11-07	2023-12-01
17	cpaskin@mathtouch.com	2023-11-14	2023-12-05
18	dnestle@treequote.com	2023-10-20	2023-12-12
19	lworlds@hottechi.com	2023-11-02	2023-12-11
20	ecanlas@conecom.com	2023-10-03	2023-12-13
21	lbiddy@toughzap.com	2023-12-04	2024-02-21
22	lgillaspie@zencorporation.com	2023-11-09	2023-12-19
23	mpalaspas@iselectrics.com	2023-12-25	2024-02-26
24	mwenner@scotfind.com	2023-11-09	2023-12-20
25	pbevelacqua@iselectrics.com	2023-11-02	2024-02-16
26	fankeny@domzoom.com	2023-11-20	2023-12-26
27	thoopengardner@conecom.com	2023-10-19	2024-01-26
28	sshealy@statholdings.com	2023-10-16	2024-01-18
29	jyglesias@betasoloin.com	2023-11-24	2024-01-10
30	amai@openlane.com	2023-10-13	2024-01-03
31	rhoa@iselectrics.com	2023-11-16	2024-01-05
32	fvarriano@mathtouch.com	2023-10-27	2024-01-24
33	lpinilla@condax.com	2023-11-03	2024-01-26
34	marias@zotware.com	2023-12-13	2024-01-11
35	mcloney@xx-holding.com	2023-10-04	2024-02-06
36	sshealy@statholdings.com	2023-12-26	2024-01-16
37	cbreland@sumace.com	2023-11-30	2024-01-18
38	ssaras@sumace.com	2023-10-25	2024-02-02
39	jyglesias@finjob.com	2024-01-16	2024-01-22
40	kcaiafa@ganjaflex.com	2023-12-18	2024-02-13
