a_email	a_f_name	a_l_name	a_street_addr	a_city	a_state	a_postal_code	a_phone	a_house_size	app_date	IsApproved	IsRejected	approved_date	rejected_date
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2023-10-02	1	0	2023-10-03	
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2024-09-27	1	0	2025-03-23	
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2024-10-17	0	0		
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2024-12-06	0	1		2025-02-22
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2025-01-16	1	0	2025-01-27	
abayless@rangreen.com	Allene	Bayless	4702 6-street	Sacramento	CA	59495	1858816896	4	2025-03-17	0	0		
adevreese@codehow.com	Annelle	Devreese	1779 8-street	Dallas	TX	69722	1184615983	3	2024-01-26	1	0	2024-12-10	
adevreese@codehow.com	Annelle	Devreese	1779 8-street	Dallas	TX	69722	1184615983	3	2024-11-20	0	0		
afrankel@plexzap.com	Alex	Frankel	1022 10-street	Irvine	NC	98148	6311142121	4	2024-04-22	1	0	2024-12-02	
afrankel@plexzap.com	Alex	Frankel	1022 10-street	Irvine	NC	98148	6311142121	4	2024-05-10	0	1		2024-12-20
afrankel@plexzap.com	Alex	Frankel	1022 10-street	Irvine	NC	98148	6311142121	4	2024-10-02	1	0	2024-10-18	
afrankel@plexzap.com	Alex	Frankel	1022 10-street	Irvine	NC	98148	6311142121	4	2024-11-18	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2023-11-21	1	0	2024-01-03	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-02-12	1	0	2024-07-11	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-03-27	1	0	2025-03-12	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-03-28	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-04-03	1	0	2024-04-11	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-06-14	1	0	2024-11-20	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-06-28	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-07-04	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-07-09	1	0	2024-10-16	
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2024-11-11	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2025-02-03	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2025-03-06	0	0		
ajuhas@year-job.com	Ahmed	Juhas	147 12-street	Greensboro	NJ	60859	0549819957	4	2025-03-21	0	0		
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2023-10-13	1	0	2023-12-19	
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2023-12-18	0	1		2024-05-01
