dog_id	dog_name	sex	alt_status	local_control	surrender_date	surrender_phone	description	age_months	microchip	microchip_manufacturer	email
1	Mickey	male	1	1	2023-10-04	7752965599	 is a super sweet boxer/dane mix!  He came from a rural animal contro	16	7034528903	AKC Reunite	asturiale@hottechi.com
2	Cash	male	1	0	2023-10-06			17	6352651783	24PetWatch	mdiestel@hatfan.com
3	Maya	female	1	0	2023-10-12	3543949591	  is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	72	5486017923	FurSecure ID	adinos@ganjaflex.com
4	Bailey	female	1	1	2023-10-13	9601658004	 his owner died and now this boy has nowhere to go - can you help him out	45	9106900152	FurryTag Systems	ahoa@j-texon.com
5	Harley	female	1	0	2023-10-23		 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	108	2674698282	FurryTag Systems	fperigo@condax.com
6	Finn	male	1	0	2023-10-23	3745129261		123	1017130350	Destron Fearing	tcastros@hatfan.com
7	Luke	male	1	0	2023-10-25	5704262728	  is a two and a half old and such a sweetheart.   loves the car and likes 	164	1038471266	LifeChip	asturiale@hottechi.com
8	Lulu	female	1	0	2023-10-31	8464731718	  Poor boy was surrendered to the Newark shelter when his owner could no 	102	7439171231	Destron Fearing	fscheyer@cancity.com
9	Jax	male	1	0	2023-11-03	0196333483	 This sweet brindle boy with the crooked smile is Whopper. He's such a good boy - playful,	3	8601785858	PetLink	cfallick@zoomit.com
10	Gizmo	male	1	0	2023-11-09		 This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	98	7342097591	HomeAgain	bstimmel@hatfan.com
11	Elvis	unknown	1	0	2023-11-13	9776070805	  was found as a baby in a colony when they were to be rounded up and possibly euthanized. Th	42	8421436699	FurSecure ID	bstimmel@hatfan.com
12	Gus	male	1	0	2023-11-14	4446004402		83	1951524747	LifeChip	skalafatis@xx-holding.com
13	Madison	female	1	0	2023-11-16		  is a wonderful family member.  He is 13 years old and has been with 	27	5454747609	PetLink	ddegonia@finjob.com
14	Copper	male	1	0	2023-11-22	3244780627	   Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in	80	6018771395	Banfield TruPaws	ebayless@streethex.com
15	Duke	male	1	0	2023-11-28	9766973790	 is a senior boy, 11-12 years old, the life he led before being rescued was filled 	38	5105013925	CritterID Systems	atawil@golddex.com
16	Benny	male	1	0	2023-11-30	0429292602	 Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted	38	4592428483	AVID	kbenimadho@newex.com
17	Athena	female	1	0	2023-12-04		 is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo	230	2093497649	PawTech Microchips	smadarang@zotware.com
18	Coco	male	1	1	2023-12-04	9306393197	 was found in rural Texas all alone outside of a residence one cold January nigh	111	9502260997	AKC Reunite	atawil@golddex.com
19	Blue	unknown	1	0	2023-12-08		 is sweet but will take some time to warm up. She will bond to her person. If you are inte	67	4846712379	PawTech Microchips	ebayless@streethex.com
