applicant_email	first_name	last_name	applicant_phone	household_size	state_abbrev	city	street	zip_code
abayless@rangreen.com	Allene	Bayless	1858816896	4	CA	Sacramento	4702 6-street	59495
adevreese@codehow.com	Annelle	Devreese	1184615983	3	TX	Dallas	1779 8-street	69722
afrankel@plexzap.com	Alex	Frankel	6311142121	4	NC	Irvine	1022 10-street	98148
ajuhas@year-job.com	Ahmed	Juhas	549819957	4	NJ	Greensboro	147 12-street	60859
akampa@zumgoity.com	Alecia	Kampa	4656996752	3	OH	Stockton	5815 16-street	20038
amai@openlane.com	Albina	Mai	3915729799	4	NC	Irvine	6402 7-street	16724
amirafuentes@inity.com	Arthur	Mirafuentes	7246136902	3	OK	Baltimore	7271 10-street	82373
apoullion@year-job.com	Aliza	Poullion	6133181891	3	NJ	Greensboro	1018 7-street	25874
aradde@hottechi.com	Albina	Radde	8838940722	4	VA	Boise City	3937 2-street	91253
asilvestrini@bioholding.com	Angella	Silvestrini	8941625714	3	NM	Milwaukee	7135 16-street	16976
asweigard@kinnamplus.com	Abel	Sweigard	5792911269	4	TX	Madison	5507 17-street	37894
avillanueva@funholding.com	Art	Villanueva	3106979904	4	MN	Cincinnati	7144 4-street	59869
bcorbley@isdom.com	Barbra	Corbley	508659064	4	MI	Detroit	9719 5-street	2259
bhamilton@kan-code.com	Benton	Hamilton	9157430255	4	AZ	Chesapeake	4044 6-street	9268
bkoppinger@kan-code.com	Benedict	Koppinger	1122477649	4	AZ	Albuquerque	9360 12-street	54420
blindall@gogozoom.com	Benton	Lindall	4433941616	5	WI	Las Vegas	424 13-street	46779
bpatak@ganjaflex.com	Belen	Patak	9556821151	4	NC	Toledo	279 21-street	47000
bsamu@labdrill.com	Bernardine	Samu	6249483813	1	AZ	Albuquerque	1773 2-street	5137
cauffrey@lexiqvolax.com	Ceola	Auffrey	2121773336	1	TX	Houston	5021 12-street	23964
cbenimadho@newex.com	Chauncey	Benimadho	5214569084	4	CA	Jersey City	9541 13-street	21515
cbreland@sumace.com	Cherry	Breland	9317802029	4	FL	Raleigh	6821 18-street	14584
ccanlas@labdrill.com	Caprice	Canlas	6908583441	3	KS	Cleveland	7044 16-street	53850
cgehrett@codehow.com	Colette	Gehrett	1056870207	4	MN	Oakland	1116 4-street	58392
