a_email	app_date
abayless@rangreen.com	2023-10-02
abayless@rangreen.com	2024-09-27
abayless@rangreen.com	2024-10-17
abayless@rangreen.com	2024-12-06
abayless@rangreen.com	2025-01-16
abayless@rangreen.com	2025-03-17
adevreese@codehow.com	2024-01-26
adevreese@codehow.com	2024-11-20
afrankel@plexzap.com	2024-04-22
afrankel@plexzap.com	2024-05-10
afrankel@plexzap.com	2024-10-02
afrankel@plexzap.com	2024-11-18
ajuhas@year-job.com	2023-11-21
ajuhas@year-job.com	2024-02-12
ajuhas@year-job.com	2024-03-27
ajuhas@year-job.com	2024-03-28
ajuhas@year-job.com	2024-04-03
ajuhas@year-job.com	2024-06-14
ajuhas@year-job.com	2024-06-28
ajuhas@year-job.com	2024-07-04
ajuhas@year-job.com	2024-07-09
ajuhas@year-job.com	2024-11-11
ajuhas@year-job.com	2025-02-03
ajuhas@year-job.com	2025-03-06
ajuhas@year-job.com	2025-03-21
akampa@zumgoity.com	2023-10-13
akampa@zumgoity.com	2023-12-18
akampa@zumgoity.com	2023-12-29
akampa@zumgoity.com	2024-01-15
akampa@zumgoity.com	2024-01-17
akampa@zumgoity.com	2024-02-14
akampa@zumgoity.com	2024-03-20
akampa@zumgoity.com	2024-10-07
akampa@zumgoity.com	2024-10-25
amai@openlane.com	2023-10-13
amai@openlane.com	2024-04-11
amai@openlane.com	2024-05-02
amai@openlane.com	2024-06-17
amai@openlane.com	2024-08-16
amai@openlane.com	2024-12-20
amirafuentes@inity.com	2024-04-05
amirafuentes@inity.com	2024-06-25
amirafuentes@inity.com	2024-11-26
apoullion@year-job.com	2024-04-04
apoullion@year-job.com	2024-06-11
apoullion@year-job.com	2024-06-25
apoullion@year-job.com	2024-11-15
aradde@hottechi.com	2024-01-10
aradde@hottechi.com	2024-03-07
aradde@hottechi.com	2024-05-01
aradde@hottechi.com	2024-05-09
aradde@hottechi.com	2024-08-06
aradde@hottechi.com	2024-08-16
aradde@hottechi.com	2024-09-17
aradde@hottechi.com	2024-09-27
aradde@hottechi.com	2024-12-12
aradde@hottechi.com	2025-01-30
asilvestrini@bioholding.com	2024-03-04
asilvestrini@bioholding.com	2024-04-04
asilvestrini@bioholding.com	2024-08-13
asilvestrini@bioholding.com	2024-10-17
asilvestrini@bioholding.com	2025-02-20
asilvestrini@bioholding.com	2025-02-27
asweigard@kinnamplus.com	2023-11-08
asweigard@kinnamplus.com	2024-03-22
asweigard@kinnamplus.com	2024-05-06
asweigard@kinnamplus.com	2024-05-07
asweigard@kinnamplus.com	2024-05-15
asweigard@kinnamplus.com	2024-06-05
asweigard@kinnamplus.com	2024-06-27
asweigard@kinnamplus.com	2024-09-02
asweigard@kinnamplus.com	2025-01-15
asweigard@kinnamplus.com	2025-03-13
avillanueva@funholding.com	2024-06-11
avillanueva@funholding.com	2024-08-14
avillanueva@funholding.com	2024-09-16
avillanueva@funholding.com	2024-09-18
avillanueva@funholding.com	2024-12-13
